"filename", "language", "SQL", "Java Properties", "HTML", "Java", "JavaScript", "CSS", "comment", "blank", "total"
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\static\js\settingsLoans.js", "JavaScript", 0, 0, 0, 0, 61, 0, 33, 31, 125
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\static\js\signup.js", "JavaScript", 0, 0, 0, 0, 46, 0, 4, 11, 61
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\static\js\stomp.js", "JavaScript", 0, 0, 0, 0, 611, 0, 8, 42, 661
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\static\js\subscriptions.js", "JavaScript", 0, 0, 0, 0, 47, 0, 3, 11, 61
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\static\js\user.js", "JavaScript", 0, 0, 0, 0, 84, 0, 4, 22, 110
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\static\js\userBookings.js", "JavaScript", 0, 0, 0, 0, 15, 0, 0, 14, 29
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\static\js\userItems.js", "JavaScript", 0, 0, 0, 0, 9, 0, 3, 6, 18
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\templates\addCourse.html", "HTML", 0, 0, 73, 0, 0, 0, 6, 24, 103
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\templates\allItems.html", "HTML", 0, 0, 39, 0, 0, 0, 14, 24, 77
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\templates\bookLesson.html", "HTML", 0, 0, 87, 0, 0, 0, 27, 39, 153
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\templates\chats.html", "HTML", 0, 0, 112, 0, 0, 0, 2, 18, 132
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\templates\courses.html", "HTML", 0, 0, 171, 0, 0, 0, 6, 45, 222
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\templates\coursesStaff.html", "HTML", 0, 0, 77, 0, 0, 0, 3, 18, 98
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\templates\derechosImgs.html", "HTML", 0, 0, 41, 0, 0, 0, 5, 32, 78
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\templates\error.html", "HTML", 0, 0, 91, 0, 0, 0, 3, 13, 107
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\templates\fragments\footer.html", "HTML", 0, 0, 98, 0, 0, 0, 6, 24, 128
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\templates\fragments\head.html", "HTML", 0, 0, 36, 0, 0, 0, 0, 5, 41
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\templates\fragments\nav.html", "HTML", 0, 0, 107, 0, 0, 0, 15, 30, 152
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\templates\index.html", "HTML", 0, 0, 156, 0, 0, 0, 71, 118, 345
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\templates\itemsToLoan.html", "HTML", 0, 0, 46, 0, 0, 0, 14, 25, 85
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\templates\lessons.html", "HTML", 0, 0, 11, 0, 0, 0, 1, 6, 18
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\templates\lessonsToBook.html", "HTML", 0, 0, 48, 0, 0, 0, 20, 33, 101
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\templates\loanItem.html", "HTML", 0, 0, 118, 0, 0, 0, 203, 63, 384
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\templates\loanList.html", "HTML", 0, 0, 81, 0, 0, 0, 7, 30, 118
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\templates\loanListHistory.html", "HTML", 0, 0, 79, 0, 0, 0, 8, 30, 117
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\templates\login.html", "HTML", 0, 0, 26, 0, 0, 0, 0, 5, 31
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\templates\modifyCourse.html", "HTML", 0, 0, 91, 0, 0, 0, 7, 25, 123
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\templates\paymentPage.html", "HTML", 0, 0, 53, 0, 0, 0, 1, 13, 67
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\templates\paymentPageBookings.html", "HTML", 0, 0, 70, 0, 0, 0, 1, 23, 94
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\templates\seeCourse.html", "HTML", 0, 0, 43, 0, 0, 0, 3, 16, 62
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\templates\settings.html", "HTML", 0, 0, 691, 0, 0, 0, 29, 189, 909
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\templates\signup.html", "HTML", 0, 0, 77, 0, 0, 0, 0, 13, 90
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\templates\subscriptions.html", "HTML", 0, 0, 87, 0, 0, 0, 10, 12, 109
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\templates\user.html", "HTML", 0, 0, 193, 0, 0, 0, 3, 33, 229
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\templates\userBookings.html", "HTML", 0, 0, 52, 0, 0, 0, 28, 33, 113
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\templates\userItems.html", "HTML", 0, 0, 75, 0, 0, 0, 4, 36, 115
"Total", "-", 204, 24, 2929, 3178, 3562, 3385, 2396, 4135, 19813
